OBJECTID,Mine_ID,Mine Name,Operation Type,Mine Status,Primary Product,Other Products,Owner,Operator,Lead Agency,Report Year,Acres Disturbed,Reclamation Status,Permit Number,Permit Acres,Financial Assurance Mechanism Total,Financial Assurance Cost Estimate,Latitude,Longitude,x,y
936340,91-26-0040,#222 - EXEMPT,,EXEMPT,,,CALTRANS,CALTRANS,County of Mono,1994,,RECLAMATION NOT STARTED,,,,,38.193611,-119.222222,-13271757.044300001,4606812.773699999
936341,91-26-0005,#18 - EXEMPT,OPEN PIT,EXEMPT,,,CALTRANS,CALTRANS,County of Mono,1994,10.3,RECLAMATION NOT STARTED,SAC-030406,0.00,,,38.193889,-119.221389,-13271664.3151,4606852.1501
936342,91-26-0039,#19F - EXEMPT,,EXEMPT,,,CALTRANS,CALTRANS,County of Mono,1994,,RECLAMATION NOT STARTED,,,,,38.193889,-119.219722,-13271478.7456,4606852.1501
936343,91-39-0016,SOLARI PIT,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Sand and Gravel,,"GEORGE REED, INC.","GEORGE REED, INC.",County of San Joaquin,2011,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,OX-90-1,123.00,99000,0,38.195,-121.093889,-13480110.061700001,4607009.515299998
936344,91-48-0006,TULE VISTA LIVESTOCK COMPANY,OPEN PIT,ACTIVE,Sand and Gravel,,AHART LIVESTOCK INC.,TULE VISTA LIVESTOCK COMPANY,County of Solano,2018,3,RECLAMATION NOT STARTED,U 83-37,12.00,10289.89,22294,38.196667,-121.969722,-13577607.3452,4607245.638400003
936345,91-39-0036,REED/CLEMENTS PIT,OPEN PIT,ACTIVE,Sand and Gravel,,"GEORGE REED, INC.","GEORGE REED, INC.",County of San Joaquin,2018,35,RECLAMATION IN PROGRESS,PA-02-182,89.00,130000,7717,38.200556,-121.096944,-13480450.1427,4607796.5189
936346,91-39-0034,MERRITT RANCH - RECLAIMED,,RECLAIMED,Sand and Gravel,,"GEORGE REED, INC.","GEORGE REED, INC.",County of San Joaquin,2017,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,QX -99-02,73.00,25000,0,38.200833,-121.094722,-13480202.7908,4607835.757299997
936347,91-39-0018,FEATHERSTONE RANCH,OPEN PIT,ACTIVE,Sand and Gravel,,"GEORGE REED, INC.","GEORGE REED, INC.",County of San Joaquin,2018,36,RECLAMATION IN PROGRESS,84-02,253.00,80000,96850,38.201111,-121.101667,-13480975.9047,4607875.137500003
936348,91-39-0017,STAMPEDE VALLEY,OPEN PIT,EXEMPT,Sand and Gravel,,WOOD COMPANY,WOOD COMPANY,County of San Joaquin,1992,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,,,,,38.201944,-121.088056,-13479460.735100001,4607993.137500003
936349,91-39-0004,CLEMENTS,"OPEN PIT,PLANT OR MILL,TAILINGS PROCESSING",RECLAIMED,Sand and Gravel,,TEICHERT AGGREGATES,TEICHERT AGGREGATES,County of San Joaquin,1996,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,QX-84-4,345.00,,,38.208056,-121.083056,-13478904.137600001,4608858.983999997
936350,91-48-0003,POTRERO HILLS LANDFILL,QUARRY,RECLAIMED,Sand and Gravel,,"POTRERO HILLS LANDFILL, INC.","POTRERO HILLS LANDFILL, INC.",County of Solano,2018,9,RECLAMATION IN PROGRESS,,46.00,838,,38.211667,-121.978889,-13578627.811,4609370.564599998
936351,91-48-0004,POTRERO HILLS QUARRY,"OPEN PIT,QUARRY",ACTIVE,Sand and Gravel,,UNIVERSAL PROPULSION COMPANY,UNIVERSAL PROPULSION COMPANY,County of Solano,2018,8,RECLAMATION IN PROGRESS,MD-80-08,532.00,70451,519661,38.213889,-121.938056,-13574082.3022,4609685.374300003
936352,91-05-0001,SNYDER CLAY PIT,OPEN PIT,IDLE,Clay,,RANDALL/ SUSAN BATSON/ JANET ADAMEK,SNYDER CLAY PIT,County of Calaveras,2018,0,RECLAMATION NOT STARTED,MRP-89-05,5.00,2631.65,2629,38.214444,-120.818056,-13449404.4726,4609764.007299997
936353,91-39-0045,TRACY LAKES QUARRY,QUARRY,IDLE,Fill Dirt,,BROVELLI WOODS  LLC.,BROVELLI WOODS  LLC.,County of San Joaquin,2018,3,RECLAMATION NOT STARTED,SJC PA 1100055,67.00,,8739.93,38.215,-121.337778,-13507259.6609,4609842.782700002
936354,91-49-0021,LAKEVILLE QUARRY,QUARRY,ACTIVE,NOT REPORTED,,"GHILOTTI BROTHERS, INC.","GHILOTTI BROTHERS, INC.",County of Sonoma,2018,22.77,RECLAMATION NOT STARTED,P 9161,27.00,242311,226822,38.215556,-122.551111,-13642327.2727,4609921.558700003
936355,91-48-0001,NELSON HILL QUARRY,QUARRY,IDLE,Rock,,"OLIVER DE SILVA, INC.",OLIVER DE SILVA INC. DBA SUNOL AGGREGATES,County of Solano,2018,70,RECLAMATION NOT STARTED,,230.00,63000,136261,38.218333,-122.116389,-13593934.241,4610315.022399999
936356,91-05-0008,VALLEY SPRINGS CLAY PIT,OPEN PIT,IDLE,Clay,,"COE FAMILY, LLC","VALLEY SPRINGS CLAY PIT, LLC",County of Calaveras,2018,5,RECLAMATION NOT STARTED,N/A,60.00,7090,6554.11,38.22,-120.816111,-13449187.9561,4610551.221199997
936357,91-49-0012,PETALUMA QUARRY,QUARRY,RECLAIMED,NOT REPORTED,,"SOUTH PETALUMA PARTNERS, LLC","SOUTH PETALUMA PARTNERS, LLC",County of Sonoma,2014,4,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,#8685,42.00,50000,0,38.222778,-122.616389,-13649593.9864,4610944.850699998
936358,91-21-0002,LAWSON'S LANDING SAND QUARRY - CLOSED,QUARRY,RECLAIMED,Silica,,"LAWSON'S LANDING, INC.","LAWSON'S LANDING, INC.",County of Marin,2010,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,90-005,30.00,25000,0,38.238056,-122.966944,-13688617.5905,4613109.939800002
936359,91-49-0045,-STONY POINT ROCK QUARRY - SONOMA,OPEN PIT,ACTIVE,Rock,,"SOILAND CO., INC.","SOILAND CO., INC.",County of Sonoma,2018,35,RECLAMATION NOT STARTED,,50.00,,223896,38.244444,-122.511667,-13637936.3867,4614015.3364999965
936360,91-05-0013,CHILI GULCH QUARRY,"OPEN PIT,QUARRY",ACTIVE,Rock,"Decorative Rock,Fill Dirt",GARAMENDI FAMILY TRUST,CHARLES LARSON CONSTRUCTION,County of Calaveras,2018,7,RECLAMATION NOT STARTED,85-04,65.00,25500,27478.07,38.261111,-120.72,-13438488.9286,4616377.991400003
936361,91-28-0004,NAPA QUARRY,QUARRY,ACTIVE,Stone,,SYAR INDUSTRIES INC,SYAR INDUSTIES INC,County of Napa,2018,253,RECLAMATION NOT STARTED,,603.00,4133032.14,4133032.14,38.264167,-122.263056,-13610261.1367,4616811.2579
936362,91-49-0038,SPALETTA QUARRY,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Fill Dirt,,SPALETTA,SPALETTA,County of Sonoma,2009,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"RES89-055,UP87-1072",,48720,0,38.275,-122.563056,-13643656.984000001,4618347.260899998
936363,91-03-0015,BERRY MINE,OPEN PIT,ACTIVE,Clay,,"PABCO BUILDING PRODUCTS, LLC",HC MUDDOX,County of Amador,2018,24.9,RECLAMATION IN PROGRESS,,"100.00,100.00",143106,116462.39,38.276111,-120.903889,-13458959.3584,4618504.801700003
936364,91-49-0005,IELMORINI QUARRY,OPEN PIT,RECLAIMED,Fill Dirt,,NORTH BAY CONSTRUCTION COMPANY,NORTH BAY CONSTRUCTION COMPANY,County of Sonoma,2007,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,86-007,417.00,,0,38.276944,-122.6,-13647769.5713,4618622.9234
936365,91-03-0022,JACKSON VALLEY ENERGY MINE- RECLAIMED,,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Lignite,,ONETO GROUP,ONETO GROUP,County of Amador,2012,,RECLAMATION IN PROGRESS,BLANK,,1000,0,38.281111,-120.915,-13460196.2293,4619213.836099997
936366,91-21-0004,MARTINONI QUARRY,OPEN PIT,CLOSED NO INTENT TO RESUME,NOT REPORTED,,MARTINONI,"LUNNY GRADING & PAVING, INC.",County of Marin,2018,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,100-060-08,8.00,,89783.43,38.283056,-122.853889,-13676032.3655,4619489.663699999
936367,91-05-0005,JOHN HERTZIG SAND & GRAVEL,OPEN PIT,ACTIVE,Sand and Gravel,,HERTZIG,HERTZIG,County of Calaveras,2018,0.5,RECLAMATION NOT STARTED,69-37,6.00,3520,4224,38.288889,-120.693611,-13435551.318500001,4620316.9070999995
936368,91-03-0012,GOOSE HILL ROCK,OPEN PIT,ACTIVE,Rock,,"NINNIS ENTERPRISES, INC.",GOOSE HILL ROCK,County of Amador,2018,0,RECLAMATION IN PROGRESS,,105.00,21322,30369.46,38.294722,-120.902222,-13458773.788800001,4621144.217
936369,91-49-0059,CENTRAL LANDFILL ROCK EXCAVATION PROJECT,QUARRY,RECLAIMED,Rock,,"SOILAND MANAGEMENT CO, INC.","STONY POINT ROCK QUARRY, INC.",County of Sonoma,2002,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,BLANK,14.00,16000,,38.296389,-122.749167,-13664374.765700001,4621380.6642
936370,91-49-0036,BIANCHINI QUARRY,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,SCHUKLER,H.J. SCHUKLER AND SON,County of Sonoma,1995,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,UP9981,0.00,,,38.2975,-122.475556,-13633916.5285,4621538.251500003
936371,91-03-0010,BUENA VISTA CLAY PIT- RECLAIMED,QUARRY,RECLAIMED,Clay,,LEHIGH SOUTHWEST CEMENT COMPANY,LEHIGH SOUTHWEST CEMENT COMPANY,County of Amador,2015,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,BLANK,,70971.35,0,38.299167,-120.907778,-13459392.2799,4621774.707800001
936372,91-26-0015,#189 SWEETWATER,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Sand and Gravel,,CALTRANS,CALTRANS,County of Mono,2011,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,SAC-070404,40.00,,0,38.305,-119.212778,-13270705.743,4622602.134900004
936373,91-03-0020,JACKSON VALLEY QUARRY,QUARRY,ACTIVE,Stone,,"GEORGE REED, INC.","GEORGE REED, INC.",County of Amador,2018,84,RECLAMATION NOT STARTED,UP-89;5-5,65.00,650000,716385,38.307222,-120.960278,-13465236.553199999,4622917.349200003
936374,91-49-0006,STONY POINT ROCK QUARRY COTATI,OPEN PIT,ACTIVE,Rock,,"SOILAND CO., INC.","SOILAND CO., INC.",County of Sonoma,2018,35,RECLAMATION NOT STARTED,,60.00,,1421658,38.321944,-122.736111,-13662921.3785,4625006.065399997
936375,91-49-0066,ROBLAR ROAD QUARRY,OPEN PIT,NEWLY PERMITTED,Sand and Gravel,"Stone,Shale,Fill Dirt",BARELLA FAMILY LLC,BARELLA FAMILY LLC,,2019,,,,,,,38.322222,-122.8025,-13670311.7681,4625045.511299998
936376,91-03-0004,IONE SAND PIT,,ACTIVE,Silica,Clay,,,County of Amador,2018,547,RECLAMATION NOT STARTED,,1800.00,1412354.83,1238129,38.325,-120.95,-13464092.4114,4625439.695299998
936377,91-03-0013,BORING SHALE PIT-RECLAIMED,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Shale,,"KRETH, INC.","KRETH, INC.",County of Amador,2011,0,RECLAMATION IN PROGRESS,UP-89;2-2,20.00,1386,0,38.327222,-120.903889,-13458959.3584,4625754.9965
936378,91-49-0007,STONY POINT ROCK QUARRY - BODEGA,OPEN PIT,RECLAIMED,Sand and Gravel,,"SOILAND CO., INC.","SOILAND CO., INC.",County of Sonoma,2011,25,RECLAMATION IN PROGRESS,UP/CP 87-9,27.00,32000,0,38.328056,-123.005,-13692853.965,4625873.3434000015
936379,91-03-0008,WALLEN & DELTA PIT,,ACTIVE,Silica,,,,County of Amador,2018,24.1,RECLAMATION NOT STARTED,,400.00,39527.74,44964,38.333056,-120.95,-13464092.4114,4626582.885799997
936380,91-49-0039,SERRES,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,SERRES,SERRES,County of Sonoma,1997,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,,,,,38.336111,-122.516944,-13638523.819600001,4627016.440200001
936381,91-03-0009,IONE RED CLAY PIT,OPEN PIT,CLOSED NO INTENT TO RESUME,Clay,,"PABCO BUILDING PRODUCTS, LLC",GLADDING MCBEAN,County of Amador,2018,7.28,RECLAMATION IN PROGRESS,,,,6680.68,38.336111,-120.913056,-13459979.8242,4627016.440200001
936382,91-03-0014,NEWMAN CLAY MINE,OPEN PIT,ACTIVE,Clay,,"PABCO BUILDING PRODUCTS, LLC",GLADDING MCBEAN,County of Amador,2018,7.5,RECLAMATION NOT STARTED,,"7.00,0.00",36141,37056,38.336944,-120.925,-13461309.4242,4627134.659699999
936383,91-03-0025,SMOKEY LATERITE MINE,"OPEN PIT,PROSPECT",NEWLY PERMITTED,Clay,,"ARA EDWIN CLAYS, LLC","ARA EDWIN CLAYS, LLC",County of Amador,2018,0,RECLAMATION NOT STARTED,UP 97;5-4,808.00,16823,10519,38.339444,-120.978611,-13467277.373399999,4627489.4683
936384,91-48-0011,DWR/KIRKLAND CATTLE CO.,UNDETERMINED,RECLAIMED,Fill Dirt,,KIRKLAND CATTLE COMPANY,CALIFORNIA DEPARTMENT OF WATER RESOURCES,California Department of Water Resources,1998,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,,,,,38.341667,-121.833333,-13562424.5912,4627804.974399999
936385,91-03-0033,NEWMAN RIDGE QUARRY,QUARRY,NEWLY PERMITTED,Stone,,"NEWMAN MINERALS, LLC","NEWMAN MINERALS, LLC",County of Amador,2018,0,RECLAMATION NOT STARTED,UP-11;6-1,278.00,,,38.353056,-120.987778,-13468297.839200001,4629421.5449
936386,91-26-0037,SONORA PIT,OPEN PIT,ACTIVE,Sand and Gravel,,"MONO COUNTY, DEPARTMENT OF PUBLIC WORKS","MONO COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Mono,2018,4,RECLAMATION NOT STARTED,32-01-02,3.00,8000,10368,38.358056,-119.440556,-13296061.874,4630131.3320999965
936387,91-26-0026,#273 BURCHAM FLATS,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Sand and Gravel,,CALTRANS,CALTRANS,County of Mono,2011,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,2820,30.00,,0,38.358611,-119.428333,-13294701.2158,4630210.1215
936388,91-03-0011,IONE QUARRY,QUARRY,ACTIVE,Rock,,"ISP GRANULE PRODUCTS, INC",SPECIALITY GRANULES (IONE) LLC,County of Amador,2018,167.1,RECLAMATION NOT STARTED,,955.00,2198854,3769131,38.371111,-121.0025,-13469936.684700001,4631984.8178
936389,91-03-0036,EDWIN MINE,OPEN PIT,ACTIVE,Clay,Lignite,ARA EDWIN CLAYS LLC.,ARA EDWIN CLAYS LLC.,County of Amador,2018,35.8,RECLAMATION NOT STARTED,NONE,9980.00,194287,234943,38.3725,-120.994444,-13469039.8949,4632182.040899999
936390,91-03-0005,Q  RANCH- RECLAIMED,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,OPEN PIT",RECLAIMED,Sand and Gravel,,NINNIS,"NINNIS ENTERPRISES, INC.",County of Amador,1996,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,UP-88;11-3,50.00,,,38.373889,-120.961944,-13465422.0114,4632379.2678999975
936391,91-28-0006,BROWN QUARRY-RECLAIMED,QUARRY,RECLAIMED,Pumice,,BROWN,BROWN,County of Napa,1998,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,U-67172,12.00,,,38.375,-122.25,-13608807.749499999,4632537.023800001
936392,91-03-0001,DOSCH PIT,,ACTIVE,Clay,,,,County of Amador,2018,3.7,RECLAMATION IN PROGRESS,,19.00,110000,85866,38.376111,-120.974444,-13466813.5051,4632694.7820999995
936393,91-49-0047,TRINITY QUARRY,OPEN PIT,ACTIVE,NOT REPORTED,,GORDENKER INC. DBA TRINITY QUARRY,GORDENKER INC. DBA TRINITY QUARRY,County of Sonoma,2018,20,RECLAMATION IN PROGRESS,PLP10-0041,13.00,75149.14,25061,38.383056,-122.5125,-13638029.1158,4633681.004000001
936394,91-03-0019,IRISH HILL PIT,TAILINGS PROCESSING,ACTIVE,Sand and Gravel,Gold (Placer),"NEWMAN MINERALS, LLC","NEWMAN MINERALS, LLC",County of Amador,2018,32,RECLAMATION NOT STARTED,UP-11;12-2,90.00,74636,127018,38.386944,-120.963056,-13465545.798700001,4634233.159199998
936395,91-03-0018,BIG HORN MINE,UNDERGROUND,EXEMPT,,,RAMM,RAMM,County of Amador,1990,0,,BLANK,0.00,,,38.388889,-120.663889,-13432242.680599999,4634509.389899999
936396,91-49-0009,NUNS CANYON QUARRY,OPEN PIT,ACTIVE,Decorative Rock,,BRODERICK,"NUNS CANYON ROCK, LLC",County of Sonoma,2019,13.2,RECLAMATION IN PROGRESS,UPE94-599 & UPE 12-0048,15.00,137439,176522,38.391111,-122.507778,-13637503.4652,4634824.969499998
936397,91-03-0035,GAGE PIT,OPEN PIT,ACTIVE,Clay,,"KRETH, INC.","KRETH, INC.",County of Amador,2018,10,RECLAMATION NOT STARTED,UP-95;7-3,520.00,25071.97,23553.94,38.396389,-120.968889,-13466195.125300001,4635574.616599999
936398,91-03-0021,LOT 232-ABANDONED,OPEN PIT,ABANDONED,Lignite,,JACKSON VALLEY ENERGY PARTNERS,"JACKSON VALLEY ENERGY PARTNERS, L.P.",County of Amador,2000,15,RECLAMATION IN PROGRESS,BLANK,,30000,27430,38.4,-120.993056,-13468885.3834,4636087.527099997
936399,91-49-0042,"ZAMARONI QUARRY, INC. - RECLAIMED",QUARRY,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Decomposed Granite,,"ZAMARONI QUARRY, INC.","ZAMARONI QUARRY, INC.",County of Sonoma,2015,3,RECLAMATION IN PROGRESS,,,,,38.406944,-122.698056,-13658685.1152,4637073.932800002
936400,91-03-0030,ELAND STOCKPILE (EXEMPT),PLANT OR MILL,EXEMPT,Rock,,ELAND CONSTRUCTION COMPANY,ELAND CONSTRUCTION COMPANY,County of Amador,2008,5,RECLAMATION NOT STARTED,UP-04-10-10,10.00,,218101,38.408056,-120.829167,-13450641.3434,4637231.902900003
936401,91-03-0006,LINCOLN MINE PROJECT,UNDERGROUND,ACTIVE,Gold (Lode),"Sand and Gravel,Silver",SUTTER GOLD MINING COMPANY,SUTTER GOLD MINING COMPANY,County of Amador,2018,0.65,RECLAMATION NOT STARTED,RP-99-1,287.00,30030.01,27831.29,38.410278,-120.811667,-13448693.2523,4637547.566200003
936402,91-34-0012,RANCHO CORDOVA,"OPEN PIT,PLANT OR MILL",RECLAIMED,Sand and Gravel,,"ELLIOTT HOMES, INC.","ELLIOTT HOMES, INC.",City of Rancho Cordova,2005,9,RECLAMATION IN PROGRESS,74-UP-1096,822.00,67000,0,38.411389,-121.266944,-13499374.4561,4637705.401500002
936403,91-34-0022,"HANFORD SAND & GRAVEL, INC.",QUARRY,ACTIVE,Fill Dirt,,HANFORD,HANFORD,County of Sacramento,2011,4,RECLAMATION NOT STARTED,90-UPB-0994,76.00,,,38.419444,-121.280833,-13500920.5725,4638849.8156
936404,91-03-0002,NORTH CARBONDALE SURFACE MINE,OPEN PIT,IDLE,Fill Dirt,,IONE ROCK,IONE ROCK,County of Amador,2018,56.5,RECLAMATION IN PROGRESS,,1038.00,157280,124424,38.42,-121.001111,-13469782.061900001,4638928.814000003
936405,91-03-0003,CHINA HILL,QUARRY,ACTIVE,Limestone,,KRETH,"KRETH, INC.",County of Amador,2018,15,RECLAMATION NOT STARTED,2-2-1966,,103314.41,102267.41,38.425,-120.624167,-13427820.8478,4639639.258599997
936406,91-34-0040,BEN BROWN PIT,OPEN PIT,IDLE,NOT REPORTED,,"BEN BROWN RANCHES, INC.","BEN BROWN RANCHES, INC.",County of Sacramento,2018,2.5,RECLAMATION NOT STARTED,94-R2B-UPB-0364,13.00,10000,9354.04,38.430278,-121.029444,-13472936.077100001,4640389.257299997
936407,91-49-0037,TEN HIGH ROCK QUARRY,QUARRY,RECLAIMED,Shale,,CALVI,CALVI CONSTRUCTION,County of Sonoma,1997,0,RECLAMATION IN PROGRESS,UP 9492,10.00,,,38.433333,-123.008333,-13693224.992899999,4640823.394900002
936408,91-03-0016,BROWN RANCH MINE,OPEN PIT,IDLE,Clay,,PABCO CLAY PRODUCTS LLC,MUDDOX,County of Amador,2018,9,RECLAMATION NOT STARTED,,"160.00,160.00",39538,39133.83,38.433889,-121.023056,-13472224.9682,4640902.408500001
936409,91-03-0023,BEN BROWN PIT- RECLAIMED,OPEN PIT,RECLAIMED,NOT REPORTED,,"BEN BROWN RANCHES, INC.","BEN BROWN RANCHES, INC.",County of Amador,2015,1,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"UP-83,7-10",120.00,5658.71,0,38.441111,-121.021944,-13472101.1809,4641928.787799999
936410,91-03-0026,SEATON MINE,UNDERGROUND,ACTIVE,Gold (Lode),,"EMMA H.  ROSE MINING, LLC","EMMA H.  ROSE MINING, LLC",County of Amador,2018,0.5,RECLAMATION NOT STARTED,,27.00,8101.79,9056,38.444167,-120.834722,-13451259.7232,4642363.132700004
936411,91-34-0033,OE CA AAT (FORMERLY PILLIKEN RANCH),UNDETERMINED,IDLE,Sand and Gravel,,OE CA AAT,OPERATING ENGINEERS LOCAL UNION NO. 3 JOINT APPRENTICESHIP COMMITTEE FOR NORTHERN CALIFORNIA,County of Sacramento,2018,92,RECLAMATION IN PROGRESS,0,1250.00,123143.12,228800,38.448611,-121.131944,-13484346.324900001,4642994.7848000005
936412,91-49-0033,CHENOWETH QUARRY,OPEN PIT,CLOSED - ADMINISTRATIVELY,,,CHENOWETH,,County of Sonoma,1990,1,,BLANK,0.00,,,38.45,-122.928889,-13684381.327300001,4643192.2195999995
936413,91-03-0024,UPPER DRY CREEK SLATE MINE,OPEN PIT,ACTIVE,Shale,,MATULICH,HORSESHOE A. MINING CO.,County of Amador,2018,9.94,RECLAMATION NOT STARTED,93-9-3,133.00,73000,71722.82,38.453611,-120.838611,-13451692.6447,4643705.511100002
936414,91-03-0007,MOKELUMNE GOLD MINE- RECLAIMED,UNDERGROUND,RECLAIMED,,,ALMGREN,ALMGREN,County of Amador,2000,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"UP 89, 102",,2466.5,,38.455,-120.643056,-13429923.561700001,4643902.9595
936415,91-03-0027,NORTH BUCKEYE,,CLOSED NO INTENT TO RESUME,,,,,County of Amador,2018,2.5,RECLAMATION IN PROGRESS,,132.60,21233,18097.92,38.456389,-121.026667,-13472626.9428,4644100.411799997
936416,91-34-0005,MCDONNELL CLAY PIT,OPEN PIT,RECLAIMED,Clay,,INDUSTRIAL MINERALS COMPANY,INDUSTRIAL MINERALS COMPANY,County of Sacramento,2014,2.2,RECLAMATION IN PROGRESS,80RZUP721,14.00,2337,0,38.4575,-121.026944,-13472657.7783,4644258.347999997
936417,91-03-0028,WILLOW SPRINGS SHALE- RECLAIMED,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Clay,,"PABCO BUILDING PRODUCTS, LLC",GLADDING MC BEAN,County of Amador,2010,0,RECLAMATION IN PROGRESS,UP-01 7-1,7.00,10500,0,38.458056,-120.930833,-13461958.750799999,4644337.387999997
936418,91-03-0017,PLYMOUTH SAND & GRAVEL,OPEN PIT,ACTIVE,Sand and Gravel,,VICINI,PLYMOUTH SAND & GRAVEL,County of Amador,2018,0,RECLAMATION NOT STARTED,BLANK,,108663.04,95587.95,38.458889,-120.950278,-13464123.3583,4644455.807099998
936419,91-49-0035,BOHAN & CANELIS,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,CANELIS,CANELIS & BOHAN,County of Sonoma,1994,0,RECLAMATION IN PROGRESS,"71915,88-0609",,,,38.465278,-123.050556,-13697925.2357,4645364.111199997
936420,91-49-0064,CANYON ROCK AUSTIN CREEK,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,ACTIVE,Sand and Gravel,,CANELIS & BOHAN,"CANYON ROCK COMPANY, INC.",County of Sonoma,2018,0,RECLAMATION IN PROGRESS,PLP04-0054,25.00,33198,32846.62,38.468333,-123.049167,-13697770.613,4645798.459399998
936421,91-34-0003,VAN VLECK RANCH PIT,OPEN PIT,ACTIVE,Clay,,PABCO CLAY PRODUCTS LLC,HC MUDDOX,County of Sacramento,2018,20.5,RECLAMATION NOT STARTED,,"10.00,10.00",87664.7,91231.23,38.47,-121.065,-13476894.1529,4646035.474799998
936422,91-49-0043,BODEAN FORESTVILLE QUARRY,QUARRY,ACTIVE,Stone,,"BODEAN CO., INC.","BODEAN CO., INC.",County of Sonoma,2018,21,RECLAMATION NOT STARTED,PLP09-035,56.00,425000,489866,38.471389,-122.914444,-13682773.317200001,4646232.968199998
936423,91-34-0004,VAN VLECK - PUMICE PIT- CLOSED - NEVER OPERATED,OPEN PIT,CLOSED - NEVER OPERATED,Clay,,VAN VLECK RANCHING & RESOURCES,VAN VLECK RANCHING & RESOURCES,County of Sacramento,2015,1.35,RECLAMATION NOT STARTED,BLANK,0.00,6000,5661.92,38.471944,-121.051944,-13475440.7656,4646311.881300002
936424,91-34-0002,VAN VLECK AMERICAN OLEON CLAY,OPEN PIT,RECLAIMED,Clay,,VAN VLECK RANCHING & RESOURCES,VAN VLECK RANCHING & RESOURCES,County of Sacramento,1999,,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"81-GP-632,81-RZ-UP-6",,,,38.473056,-121.06,-13476337.555399999,4646469.993699998
936425,91-49-0004,"CANYON ROCK CO., INC.","OPEN PIT,PLANT OR MILL,QUARRY",ACTIVE,Stone,,"CANYON ROCK COMPANY, INC.","CANYON ROCK COMPANY, INC.",County of Sonoma,2019,61,RECLAMATION IN PROGRESS,PLP97-0046,58.00,,691306,38.473611,-122.908333,-13682093.0438,4646548.9086000025
936426,91-34-0013,LOWER BRADFORD CLAY,OPEN PIT,ACTIVE,Clay,,VAN VLECK RANCHING & RESOURCES,VAN VLECK RANCHING & RESOURCES,County of Sacramento,2018,14,RECLAMATION NOT STARTED,,26.00,20000,21168,38.474722,-121.042778,-13474420.4112,4646706.8825
936427,91-49-0034,CANYON ROCK CAZADERO QUARRY,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,QUARRY",ACTIVE,Stone,,CANELIS,"CANYON ROCK COMPANY, INC.",County of Sonoma,2019,24,RECLAMATION IN PROGRESS,VESTED RIGHTS,,200000,183553.15,38.475556,-123.047222,-13697554.0966,4646825.4711000025
936428,91-03-0029,SOUTH ARKANSAS CREEK MINE/HIGH COUNTRY,OPEN PIT,IDLE,Sand and Gravel,,"CROSSPOINT 2, LLC","CROSSPOINTE 2, LLC.",County of Amador,2018,34,RECLAMATION NOT STARTED,"UP-05-, 6-9",124.00,2613.17,179179,38.475556,-120.995556,-13469163.6822,4646825.4711000025
