"Permit No","Site Name","Permittee Name","Project Name","Permit Type","Status","Rating","Location","City","County","EFO Name","__Issuance__","_Effective_","__Expiration__"
"TN0063037","Meridian Brick, LLC - Mine No. 2 Collins","Meridian Brick, LLC","Mine No. 2 - Collins","Mining","Reissuance","Minor","4970 Old State Route 22","Gleason","Weakley","Jackson","14-SEP-2016","01-DEC-2016","30-NOV-2021"
"TN0063029","Meridian Brick, LLC - Mine No. 3 Rich Pit","Meridian Brick, LLC - Mine No. 3 Rich Pit","Mine 3 Rich Pit ","Mining","Modification","Minor","179 Cypress Rd","Gleason","Weakley","Jackson","18-FEB-2020","01-MAR-2020","28-FEB-2025"
"TN0069973","Meta Elkhorn, LLC","Meta Elkhorn, LLC","Mine 1","Mining","Incomplete","Minor","Back Valley Road...","Oliver Springs...","Morgan","Knoxville","-","-","-"
"TN0069205","Metro Materials - James Road Sand Plant","Metro Materials, Inc.","James Road Sand Plant Area 4","Mining","Active","Minor","2600 N. Hollywood Street","Memphis","Shelby","Memphis","31-AUG-2018","01-SEP-2018","31-AUG-2023"
"TN0070882","Ferrell Paving, Inc. - Crestview Plant","Metro Materials, Inc.","Crestview Plant","Mining","Incomplete","Minor","5253 Crestview Rd","Memphis","Shelby","Memphis","23-OCT-2015","29-OCT-2015","28-OCT-2020"
"TN0079405","Middle Quarry","Middle Quarry","Quartzite Mine ","Mining","Reissuance","Minor","633 Doe Creek Road (SR-167)","Butler","Johnson","Johnson City","12-JAN-2017","01-MAR-2017","28-FEB-2022"
"TN0072095","Middle Tennessee Limestone, Inc.","Middle Tennessee Limestone, Inc.","-","Mining","Reissuance","Minor","5880 McMinnville Highway","Doyle","White","Cookeville","15-APR-2019","01-MAY-2019","30-APR-2024"
"TN0022764","Midsouth Paving, Inc. dba Midsouth Aggregates 
Previously: APAC Mid-South, Inc.","Midsouth Paving, Inc. dba Midsouth Aggregates 
Previously APAC Mid-South, Inc..","Lookout Valley Quarry ","Mining","Reissuance","Minor","901 Birmingham Highway","Chattanooga","Hamilton","Chattanooga","18-DEC-2015","18-DEC-2015","17-DEC-2020"
"TN0076228","Monteagle Sand, LLC - Sand Processing Plant & Quarry","Monteagle Sand, LLC","Sand Processing Plant and Quarry ","Mining","Modification","Minor","731 Pineville Road","Monteagle","Marion","Chattanooga","04-OCT-2016","01-JAN-2017","31-DEC-2021"
"TN0069881","Montes Stone Products, LLC Blaine Smith Road Quarries 1 and 2","Montes Stone Products, LLC","Blain Smith Road Quarry 1 and Quarry 2","Mining","New","Minor","Blaine Smith Road","Pikeville","Bledsoe","Chattanooga","22-MAR-2016","01-APR-2016","31-MAR-2021"
"TN0070131","Montes Stone Products, LLC ","Montes Stone Products, LLC ","Castle Rock Quarry ","Mining","New","Minor","Castle Rock Quarry 1552 Shaver Road","Dayton","Bledsoe","Chattanooga","26-JAN-2017","01-FEB-2017","31-JAN-2022"
"TN0071994","Armour Pit","Monty McWilliams dba McArmour Enterprises","Armour Pit","Mining","Reissuance","Minor","Curve-Woodville Rd","Ripley","Lauderdale","Jackson","24-JUL-2015","08-SEP-2015","07-SEP-2020"
"TN0057029","Mossy Creek Mining, LLC","Mossy Creek Mining, LLC","New Market Mine and Mill","Mining","Reissuance","Minor","New Market Mine & Mill","New Market","Jefferson","Knoxville","11-JUL-2017","01-AUG-2017","31-JUL-2022"
"TN0079847","Little Tackett Creek Surface Mine","Mountainside Coal Company","Little Tackett Creek Area, Surface Mine","Mining","Pending","Minor","White Oak Community","Habersham","Campbell","Knoxville","-","-","-"
"TN0069787","Mr. Guy Hommel, dba Hommel Construction Company - Oneil Road Sand & Gravel Borrow Pit","Mr. Guy Hommel, dba Hommel Construction Company","Oneil Road Sand & Gravel Borrow Pit","Mining","Modification","Minor","811 Oneil Road","Newport","Cocke","Knoxville","10-JUN-2019","01-JUL-2019","30-JUN-2024"
"TN0069175","National Coal, LLC - Mine 3B","National Coal LLC.","Mine 3B","Mining","Reissuance","Minor","Ligias Fork Watershed of New River near Stainville","Briceville","Anderson","Knoxville","01-APR-2016","01-APR-2016","31-MAR-2021"
"TN0076376","Premium Coal Company
National Coal LLC Mine 7","National Coal, LLC","Mine 7","Mining","Reissuance","Minor","Lick Fork of Elk Valley","PIONEER","Campbell","Knoxville","17-JAN-2019","21-JAN-2019","20-JAN-2024"
"TN0079120","National Coal, LLC - Deep Mine #11","National Coal, LLC","Deep Mine 11","Mining","Reissuance","Minor","8915 George Williams Road","-","Campbell","Knoxville","01-AUG-2016","01-AUG-2016","31-JAN-2021"
"TN0076180","National Coal, LLC - Deep Mine #10","National Coal, LLC","Deep Mine 10","Mining","Active","Minor","8915 George Williams Road","Knoxville","Campbell","Knoxville","06-MAY-2015","07-MAY-2015","06-MAY-2020"
"TN0072729","National Coal, LLC","National Coal, LLC
","Deep Mine 9 ","Mining","Reissuance","Minor","Deep Mine 9","Hembree","Scott","Knoxville","07-MAY-2015","07-MAY-2015","06-MAY-2020"
"TN0071803","National Coal, LLC
Deep Mine 8","National Coal, LLC
","Deep Mine 8","Mining","Incomplete","Minor","Smoky Creek","Hembree","Scott","Knoxville","01-MAY-2015","01-MAY-2015","30-APR-2020"
"TN0079502","National Coal, LLC - Mine 14","National Coal, LLC
Mine 14","Reclaimed Underground Mine","Mining","Reissuance","Minor","Cross Mountain","Caryville","Campbell","Knoxville","10-JAN-2018","01-FEB-2018","30-JAN-2023"
"TN0079162","Navajo Transitional Energy Company, LLC
Formerly: Sequatchie Valley Coal Corp. - Main Area","Navajo Transitional Energy Company, LLC
Formerly: Sequatchie Valley Coal Corp.","Main Area","Mining","Reissuance","Minor","443 SVC Road","Dunlap","Sequatchie","Chattanooga","28-DEC-2018","01-JAN-2019","31-DEC-2023"
"TN0045951","Navajo Transitional Energy Company, LLC
Formerly: Sequatchie Valley Coal Corporation - TN0045951","Navajo Transitional Energy Company, LLC
Formerly: Sequatchie Valley Coal Corp.","Mine 1","Mining","Reissuance","Minor","Hcr 65, Box 364","Dunlap","Van Buren","Cookeville","10-AUG-2015","11-AUG-2015","09-AUG-2020"
"TN0079871","Charles Blalock & Sons, Inc. (aka Newport Pit)","Newport Mine","Newport Pit","Mining","Reissuance","Minor","601 Rankin Road","Newport","Cocke","Knoxville","01-FEB-2018","01-MAY-2018","30-APR-2023"
"TN0069825","Newport Sand & Gravel- Condor Pit Mine","Newport Sand & Gravel","Condor Pit Mine","Mining","Modification","Minor","1191 Oneil Road","Newport","Cocke","Knoxville","08-MAY-2019","01-JUN-2019","31-MAY-2024"
"TN0063100","Newport Sand & Gravel","Newport Sand & Gravel Company","Freeman Mine ","Mining","Reissuance","Minor","1775 Zanzabar Rd","Newport","Cocke","Knoxville","15-JUN-2020","01-JUL-2020","30-JUN-2025"
"TN0072010","North Benton Pit","Norwood Construction Inc.","North Benton Pit","Mining","Reissuance","Minor","10685 Highway 69","Big Sandy","Benton","Jackson","24-SEP-2018","01-OCT-2018","30-SEP-2023"
"TN0029360","Nyrstar Gordonsville LLC","Nyrstar Tennessee Mines ","Gordonsville Mine and Mill","Mining","Reissuance","Major","120 Zinc Mine Circle","Gordonsville","Smith","Cookeville","19-SEP-2017","01-NOV-2017","31-OCT-2022"
"TN0004227","Nyrstar Tennessee Mines - Gordonsville, LLC (Elmwood Mine)","Nyrstar Tennessee Mines - Gordonsville, LLC","Elmwood Mine","Mining","Reissuance","Major","Helms Bend Road","Elmwood","Smith","Cookeville","14-JUN-2018","01-AUG-2018","31-JUL-2023"
"TN0001732","Coy Mine","Nyrstar Tennessee Mines - Strawberry Plains, LLC ","Coy Mine","Mining","Reissuance","Major","420 E. Broadway Blvd","Jefferson City","Jefferson","Knoxville","17-OCT-2018","01-JAN-2019","31-DEC-2023"
"TN0061468","Beaver Creek Shaft","Nyrstar Tennessee Mines - Strawberry Plains, LLC 
","Beaver Creek Shaft","Mining","Modification","Major","2421 W. Old Andrew Johnson Highway","Strawberry Plains","Jefferson","Knoxville","14-JUL-2017","01-AUG-2017","31-JUL-2022"
"TN0064289","Nyrstar Gordsonsville, LLC (Cumberland Mine Site)","Nyrstar Tennessee Mines Gordonsville, LLC ","Cumberland Mine Site","Mining","Reissuance","Major","510 Cumberland Mine Rd","Carthage","Smith","Cookeville","10-AUG-2017","01-SEP-2017","31-AUG-2022"
"TN0001759","Immel Mine","Nyrstar Tennessee Mines- Strawberry Plains","Immel MIne","Mining","Reissuance","Major","2160 Immel Mine Rd","Mascot","Knox","Knoxville","08-NOV-2016","01-DEC-2016","30-NOV-2021"
"TN0027677","Nyrstar Tennessee Mines - Strawberry Plains, LLC dba Young Mill Zinc Ore Processing Plant","Nyrstar Tennessee Mines-Strawberry Plains, LLC","Young Mill and Mine","Mining","Reissuance","Major","1977 West Highway 11 East","New Market","Jefferson","Knoxville","26-JUN-2019","01-JUL-2019","30-JUN-2024"
"TN0070025","O'Neal Melton & Sons Farms","O'NEAL MELTON AND SONS, INCORPORATED ","O'Neal Melton & Sons Mine ","Mining","New","Minor","5095 Highway 70 West","Camden","Benton","Jackson","08-JUL-2016","01-AUG-2016","31-JUL-2021"
"TN0045811","Old Hickory Clay Company -    
Volunteer Mine # 1","Old Hickory Clay Co. ","Volunteer Mine # 1","Mining","Modification","Minor","Clay Pit Road","Gleason","Weakley","Jackson","30-APR-2020","01-JUL-2020","30-JUN-2025"
"TN0070335","Alexander Mine #9","Old Hickory Clay Company","Alexander Mine #9","Mining","New","Minor","2016 Goldston Springs Road","Puryear","Henry","Jackson","24-SEP-2018","01-OCT-2018","30-SEP-2023"
"TN0070297","Old Hickory Clay Company - J.B. Walker Idlewild Mine - No. 8","Old Hickory Clay Company","J.B. Walker Idlewood Mine - No. 8","Mining","New","Minor","Idlewild Hollyleaf Rd","Milan","Gibson","Jackson","29-JUN-2018","01-JUL-2018","30-JUN-2023"
"TN0079677","Old Hickory Clay Company - Guill Mine - No. 6","Old Hickory Clay Company","Guill Mine - No. 6","Mining","Reissuance","Minor","Concord Church Rd","McKenzie","Carroll","Jackson","23-JAN-2017","01-MAR-2017","28-FEB-2022"
"TN0070033","The Scarbrough Mine - Number 7","Old Hickory Clay Company","Scarbrough Mine - Number 7","Mining","New","Minor","Seminary Church Road","Gleason","Weakley","Jackson","20-MAY-2016","01-JUN-2016","31-MAY-2021"
"TN0041581","Old Hickory Clay Company -  McClain Mine # 2","Old Hickory Clay Company","McClain Mine #2","Mining","Reissuance","Minor","McClain Mine # 2","Gleason","Weakley","Jackson","24-JUL-2015","04-SEP-2015","03-SEP-2020"
"TN0045837","Old Hickory Clay Company - Cottage Grove - Mine #4","Old Hickory Clay Company","Cottage Grove - Mine #4","Mining","Reissuance","Minor","TN -140/Route 69 (Approx. 10 miles from the Kentucky line)","Cottage Grove","Weakley","Jackson","24-JUL-2015","04-SEP-2015","03-SEP-2020"
"TN0045845","Old Hickory Clay Company -      Mine #5 - Dunn","Old Hickory Clay Company ","Mine# 5 - Dunn","Mining","Reissuance","Minor","5420 Old Highway 22","Gleason","Weakley","Jackson","25-JUN-2020","01-SEP-2020","31-AUG-2023"
"TN0069264","Evergreen Farms (The Villas at)","Ole South Excavating, Inc.","Evergreen Farms Borrow Area","Mining","Reissuance","Minor","0.35 miles south from intersection of Cason Tr. and Saint Andrews Dr.","Murfreesboro","Rutherford","Nashville","25-SEP-2019","01-OCT-2019","30-SEP-2024"
"TN0065668","Overton County Highway Department","Overton County Highway Department
","Overton County Quarry ","Mining","Reissuance","Minor","Quarry Road","Livingston","Overton","Cookeville","15-DEC-2017","01-JAN-2018","31-DEC-2022"
"TN0070777","Jackson Sand, LLC","Pope Concrete Products, Inc. dba Jackson Sand, Inc.","Mine 1","Mining","Reissuance","Minor","139 United Drive","Jackson","Madison","Jackson","14-JAN-2019","01-FEB-2019","31-MAR-2024"
"TN0070581","Potter South East - Borrow Site","Potter South East, LLC ","-","Mining","New","Minor","Jacksboro Pike","Jacksboro","Campbell","Knoxville","-","-","-"
"TN0076368","Premium Coal Company, Inc., Refuse Area #3","Premium Coal Company, Inc","Refuse Area #3","Mining","Reissuance","Minor","McQueen Hollow
Lake City USGS Quadrangle 137NW","Briceville","Anderson","Knoxville","07-MAY-2015","07-MAY-2015","06-MAY-2020"
"TN0052965","Premium Coal Company, Inc","Premium Coal Company, Inc
Mine 17","Mine 17","Mining","Reissuance","Minor","PO Box 465","Jacksboro","Anderson","Knoxville","07-MAY-2015","07-MAY-2015","06-MAY-2020"
"TN0051918","Premium Coal Company, Inc. - Tipple & Preparation Plant","Premium Coal Company, Inc.","Coal Preparation Plant ","Mining","Reissuance","Minor","Tipple & Preparation Plant","Rocky Top","Anderson","Knoxville","11-JAN-2018","01-FEB-2018","31-JAN-2023"
"TN0049964","Premium Coal Company, Inc. Baldwin Plant/Baldwin Refuse Impoundment 3","Premium Coal Company, Inc.","Baldwin Plant / Baldwin Refuse Impoundment","Mining","Reissuance","Minor","7563 New River Highway 116","Moores Camp","Anderson","Knoxville","16-SEP-2015","18-SEP-2015","15-SEP-2020"
"TN0079529","Premium Coal Company, Inc. - Area #19","Premium Coal Company, Inc.","Mine 19 ","Mining","Reissuance","Minor","Ligias Fork of New River near Windrock","Rocky Top","Anderson","Knoxville","07-AUG-2015","07-AUG-2015","06-AUG-2020"
"TN0079570","Premium Coal Company, Inc. - Area #20","Premium Coal Company, Inc.","Premium Coal Mine 20","Mining","Reissuance","Minor","Area 20","Caryville","Campbell","Knoxville","07-MAY-2015","07-MAY-2015","06-MAY-2020"
"TN0071307","Premium Coal Company, Inc. - Area #18","Premium Coal Company, Inc.","Area 18","Mining","Reissuance","Minor","Area #18","Oliver Springs","Anderson","Knoxville","07-MAY-2015","07-MAY-2015","06-MAY-2020"
"TN0069159","National Coal Mine 5A","Premium Coal Company, Inc.","Mine 5A","Mining","Incomplete","Minor","Ligias Fork Watershed of New River near Stainville","Caryville","Anderson","Knoxville","07-MAY-2015","07-MAY-2015","06-MAY-2020"
"TN0063592","Premium Coal Company, Inc. - Refuse Area 2","Premium Coal Company, Inc.","Refuse Area 2","Mining","Reissuance","Minor","Old Airbase Road","Briceville","Anderson","Knoxville","07-MAY-2015","07-MAY-2015","06-MAY-2020"
"TN0043222","Premium Coal Company, Inc.","Premium Coal Company, Inc.
Loadout Tipple","Baldwin Load Out","Mining","Reissuance","Minor","Tipple 3","Devonia","Anderson","Knoxville","31-OCT-2013","31-OCT-2013","30-OCT-2018"
"TN0079561","Premium Coal Company, Inc.
Mine 15, OSM 3235 (formerly 3188)","Premium Coal Company, Inc.
Mine 15","Mine 15","Mining","Reissuance","Minor","Stallion Mountian approximately 3 miles west of Devonia","Devonia","Anderson","Knoxville","29-MAY-2013","29-MAY-2013","28-MAY-2018"
"TN0079294","Premium Coal Company, Inc. - Mine 3","Premium Coal Company, Inc. 
Mine 3"," Surface Mine 3","Mining","Reissuance","Minor","Highway 116","Rosedale","Anderson","Knoxville","10-MAR-2016","10-MAR-2016","09-MAR-2021"
"TN0079308","Premium Coal Company, Inc. 
Mine 4","Premium Coal Corporation, Inc.","Mine 4","Mining","Reissuance","Minor","8915 George Williams Road","Rosedale","Anderson","Knoxville","07-MAY-2015","07-MAY-2015","06-MAY-2020"
"TN0040564","Twin Bluff Farms Quarry","RQ Development,LLC","Twin Bluff Farms Quarry","Mining","New","Minor","Gravel road off of Dry Valley Rd","Cookeville","Putnam","Cookeville","24-APR-2020","01-MAY-2020","30-APR-2025"
"TN0071277","Doe Creek Quartzite Mine","Radford Quarries Of Boone, Inc","Doe Creek Quartzite Mine ","Mining","Reissuance","Minor","501 Doe Creek Road","Butler","Johnson","Johnson City","30-SEP-2016","01-OCT-2016","30-SEP-2021"
"TN0070386","Real Stone Veneers","Real Stone Veneers of Tennessee, LLC","Whitwell Stone Yard","Mining","New","Minor","East Minnesota Ave","Whitwell","Marion","Chattanooga","20-DEC-2018","01-JAN-2019","31-DEC-2023"
"TN0076309","Revelation Energy, LLC transfer from Bell County Coal Corporation - Cabin Hollow Mine #1","Revelation Energy LLC transferred from Bell County Coal Corporation","Cabin Hollow Mine","Mining","Modification","Minor","RR 1, Box 290
Pruden Road","Motch","Claiborne","Knoxville","25-AUG-2016","01-SEP-2016","31-AUG-2021"
"TN0070122","Rocky Ridge Stone Company, LLC","Rocky Ridge Stone Company, LLC","Sandstone Processing Facility","Mining","New","Minor","Rock Quarry Rd","CROSSVILLE","Cumberland","Cookeville","21-NOV-2016","01-DEC-2016","30-NOV-2021"
"TN0070289","Shane Wattenbarger Property - Woodcliff Road","Rockytop Stone Supply, LLC","Area No. 1","Mining","New","Minor","385 Myers Street/Woodcliff Road","Monterey","Putnam","Cookeville","22-JAN-2018","22-JAN-2018","21-JAN-2023"
"TN0063525","Rogers Group, Inc. - Fentress County Quarry","Rogers Group Inc","Fentress County Quarry","Mining","Active","Minor","2355 North York Highway","Pall Mall","Fentress","Cookeville","17-JAN-2020","01-APR-2020","31-MAR-2025"
"TN0071846","Rogers Group, Inc. - Deason Quarry/Hawkins Asphalt Paving, LLC","Rogers Group Inc.","Deason Quarry","Mining","Modification","Minor","190 Squire Hall Road","Shelbyville","Bedford","Columbia","05-DEC-2018","01-MAR-2019","29-FEB-2024"
"TN0065781","Cookeville  Quarry","Rogers Group Inc.","Cookeville Quarry ","Mining","Reissuance","Minor","1100 Old Calvary Road","Cookeville","Putnam","Cookeville","24-JUN-2015","23-SEP-2015","22-SEP-2020"
"TN0072907","Rogers Group, Inc. - Highway 11 Quarry","Rogers Group, Inc","Highway 11 Quarry","Mining","Reissuance","Minor","1942 Christian Road","Pulaski","Giles","Columbia","04-AUG-2017","01-NOV-2017","31-OCT-2022"
"TN0069124","Rogers Group, Inc. - Gordonsville Quarry","Rogers Group, Inc.","Gordonsville Quarry","Mining","Active","Minor","342 Rogers Road","Gordonsville","Smith","Cookeville","05-JUN-2020","01-AUG-2020","31-JUL-2025"
"TN0070874","Fayetteville Quarry","Rogers Group, Inc.","Fayetteville Quarry ","Mining","Reissuance","Minor","331 Shelbyville Highway (US-23I N.)","Fayetteville","Lincoln","Columbia","02-APR-2020","01-MAY-2020","30-APR-2025"
"TN0063461","Rogers Group, Inc. - McMinnville Asphalt Plant","Rogers Group, Inc.","McMinnville Quarry ","Mining","Reissuance","Minor","163 Stone Man Road","McMinnville","Warren","Cookeville","18-FEB-2020","01-MAY-2015","30-APR-2025"
"TN0023957","Ten Mile Quarry","Rogers Group, Inc.","Ten Mine Quarry ","Mining","Active","Minor","4275 Old Ten Mile Road","Ten Mile","Meigs","Chattanooga","13-MAR-2020","01-APR-2020","31-MAR-2025"
"TN0066168","Caryville Quarry","Rogers Group, Inc.","Caryville Quarry","Mining","Modification","Minor","429 Queener Road","Caryville","Campbell","Knoxville","08-NOV-2019","01-DEC-2019","30-NOV-2024"
"TN0072371","Rogers Group, Inc. dba Hillsdale Quarry","Rogers Group, Inc.","Hillsdale Quarry ","Mining","Reissuance","Minor","Carter Branch Road","Dixon Springs","Macon","Cookeville","15-OCT-2019","01-DEC-2019","30-NOV-2024"
"TN0029262","Rogers Group, Inc. - LaFollette Quarry","Rogers Group, Inc.","Lafollette Quarry","Mining","Modification","Minor","504 Towe String Road","LaFollette","Campbell","Knoxville","04-SEP-2019","01-DEC-2019","30-NOV-2024"
"TN0061395","Columbia Quarry - Rogers Group, Inc.","Rogers Group, Inc.","Columbia Quarry","Mining","Active","Minor","1071 Blue Springs Road","Columbia","Maury","Columbia","03-JUL-2019","01-AUG-2019","31-JUL-2024"
"TN0069141","Rogers Group Inc. Clinton Quarry","Rogers Group, Inc.","Clinton Quarry","Mining","Modification","Minor","Highway 61 East, southeast corner of I-75 intersection at exit 122","Clinton","Anderson","Knoxville","06-JUN-2019","01-JUL-2019","30-JUN-2024"
"TN0057452","Rogers Group, Inc. - White's Creek Pike Quarry","Rogers Group, Inc.","Whites Creek Pike Quarry","Mining","Reissuance","Minor","2819 Whites Creek Pike","Nashville","Davidson","Nashville","15-APR-2019","01-MAY-2019","30-APR-2024"
"TN0066338","Anchor Rock Quarry","Rogers Group, Inc.","Anchor Rock Quarry","Mining","Reissuance","Minor","Hardison Mill Road","Columbia","Maury","Columbia","15-FEB-2019","01-MAR-2019","29-FEB-2024"
"TN0066541","Rogers Group, Inc. - TN0066541","Rogers Group, Inc.","Grundy Quarry","Mining","Reissuance","Minor","Highway 50","Pellham","Grundy","Chattanooga","27-SEP-2018","01-NOV-2018","31-OCT-2023"
"TN0004472","Rogers Group, Inc. - Roane County Quarry","Rogers Group, Inc.","Roane County Quarry","Mining","Reissuance","Minor","260 Quarry Road","Harriman","Roane","Knoxville","23-AUG-2018","01-OCT-2018","30-SEP-2023"
"TN0065986","Rogers Group, Inc. - Hillsboro Quarry/ Hillsboro Asphalt","Rogers Group, Inc.","Hillsboro Quarry","Mining","Reissuance","Minor","1871 Rogers Crusher Road","Hillsboro","Coffee","Columbia","22-AUG-2018","01-SEP-2018","31-AUG-2023"
"TN0063517","Rogers Group, Inc. - Algood Quarry & Rogers Group, Inc.","Rogers Group, Inc.","Algood Quarry","Mining","Reissuance","Minor","355 East Main Street","Algood","Putnam","Cookeville","27-JUL-2018","01-SEP-2018","31-AUG-2023"
"TN0072028","Cross Plains Quarry","Rogers Group, Inc.","Cross Plains Quarry","Mining","Reissuance","Minor","4450 South Rockhouse Road","Cross Plains","Robertson","Nashville","20-AUG-2013","01-SEP-2013","31-AUG-2023"
"TN0063509","Rogers Group, Inc. - Sparta Quarry; Rogers Group, Inc. dba Sparta Asphalt","Rogers Group, Inc.","Sparta Asphalt","Mining","Modification","Minor","1684 Old Smithville Highway ","Sparta","White","Cookeville","01-MAY-2018","01-AUG-2018","31-JUL-2023"
"TN0056421","Rogers Group, Inc. - Pulaski Asphalt/Pulaski Quarry","Rogers Group, Inc.","Pulaski Quarry","Mining","Reissuance","Minor","2212 Bethel Road","Pulaski","Giles","Columbia","02-APR-2018","01-JUL-2018","30-JUN-2023"
"TN0063495","Rogers Group, Inc. - Allons Quarry","Rogers Group, Inc.","Allons Quarry","Mining","Reissuance","Minor","Highway 52 North","Livingston","Overton","Cookeville","17-APR-2018","01-MAY-2018","30-APR-2023"
"TN0066320","Rogers Group, Inc. - Liberty Quarry","Rogers Group, Inc.","Liberty Quarry","Mining","Reissuance","Minor","470 Woodbury Highway","Liberty","DeKalb","Cookeville","01-DEC-2017","01-DEC-2017","30-NOV-2022"
"TN0004219","Rogers Group, Inc. dba Oak Ridge Quarry","Rogers Group, Inc.","Oak Ridge Quarry","Mining","Modification","Minor","250 Union Valley Road","Oak Ridge","Anderson","Knoxville","01-NOV-2017","01-DEC-2017","30-NOV-2022"
"TN0063479","Rogers Group, Inc., - Celina Quarry","Rogers Group, Inc.","Celina Quarry ","Mining","Reissuance","Minor","120 River Road - Off Highway 53","Celina","Clay","Cookeville","12-JUL-2017","01-OCT-2017","30-SEP-2022"
"TN0057967","Rogers Group, Inc. - Lawrenceburg Quarry","Rogers Group, Inc.","Lawrenceburg Quarry","Mining","Reissuance","Minor","2690 Waynesboro Highway","Lawrenceburg","Lawrence","Columbia","01-JUL-2017","07-AUG-2017","06-AUG-2022"
"TN0072273","Rogers Group, Inc. dba Hickman County Quarry","Rogers Group, Inc.","Hickman County Quarry","Mining","Reissuance","Minor","11201 Spencer Mill Road","Bon Aqua","Hickman","Columbia","03-MAR-2016","02-JUN-2016","01-JUN-2021"
"TN0063444","Rogers Group, Inc. 
Livingston Quarry","Rogers Group, Inc.","Livingston Quarry","Mining","Reissuance","Minor","Highway 42","Livingston","Overton","Cookeville","14-JAN-2016","13-APR-2016","12-APR-2021"
"TN0069523","Rogers Group, Inc. - Gum Branch Quarry","Rogers Group, Inc.","Gum Branch Quarry","Mining","Modification","Minor","152 Lime Kiln Road","Burns","Dickson","Nashville","22-JUL-2019","22-JUL-2019","17-MAR-2021"
"TN0072508","Rogers Group, Inc.
Gainesboro Quarry","Rogers Group, Inc.","Gainesboro Quarry","Mining","Reissuance","Minor","10796 Dodson Branch Highway","Gainesboro","Jackson","Cookeville","22-OCT-2015","25-JAN-2016","24-JAN-2021"
"TN0071251","Rogers Group, Inc. - Belfast Quarry","Rogers Group, Inc.","Belfast Quarry","Mining","Modification","Minor","1960 Fayetteville Hwy","Belfast","Marshall","Columbia","19-OCT-2015","16-JAN-2016","15-JAN-2021"
"TN0063487","Rogers Group, Inc. - Monterey Quarry ","Rogers Group, Inc.","Monterey Quarry","Mining","Reissuance","Minor","11825 Matheny Drive","Monterey","Putnam","Cookeville","06-NOV-2015","17-DEC-2015","16-DEC-2020"
"TN0022756","Rogers Group, Inc.","Rogers Group, Inc.","Shelbyville Quarry","Mining","Reissuance","Minor","2540 Highway 41A","Shelbyville","Bedford","Columbia","20-AUG-2015","17-NOV-2015","16-NOV-2020"
"TN0069418","Englewood Quarry","Rogers Group, Inc.","Englewood Quarry","Mining","Reissuance","Minor","Highway 39
near Burger Branch Rd","Englewood","McMinn","Chattanooga","31-JUL-2015","01-AUG-2015","31-JUL-2020"
"TN0071676","Rogers Group, Inc. dba Monroe County Quarry","Rogers Group, Inc.
","Monroe County Stone ","Mining","Reissuance","Minor","197 Campground Road","Madisonville","Monroe","Knoxville","26-OCT-2017","01-FEB-2018","31-JAN-2023"
"TN0065901","Rogers Group, Inc. dba Rhea County Quarry","Rogers Group, Inc.
","Rhea County Quarry ","Mining","Reissuance","Minor","7981 Old Washington Highway","Dayton","Rhea","Chattanooga","14-SEP-2017","01-DEC-2017","30-NOV-2022"
"TN0003654","Rogers Group, Inc.","Rogers Group, Inc.
","Lewisburg Quarry","Mining","Reissuance","Minor","600 Darnell-Mealer Road","Lewisburg","Marshall","Columbia","01-SEP-2017","01-OCT-2017","30-SEP-2022"
"TN0057657","Rogers Group, Inc., REOstone Quarry","Rogers Group, Inc. ","REOstone Quarry","Mining","Modification","Minor","6514 Robertson Road","Nashville","Davidson","Nashville","01-JUN-2020","01-JUN-2020","31-MAY-2025"
"TN0004201","Rogers Group Inc. - Gallatin Quarry/Asphalt
","Rogers Group, Inc. ","Gallatin Quarry","Mining","Modification","Minor","245 Lower Station Camp Creek Road","Gallatin","Sumner","Nashville","27-JAN-2016","24-APR-2016","23-APR-2021"
"TN0079511","Millcreek Limestone, LLC","Rogers Group, Inc. ","Mill Creek Quarry ","Mining","Reissuance","Minor","Highway 70 North, near Walker Mountain Road","Monterey","Putnam","Cookeville","18-NOV-2015","14-FEB-2016","13-FEB-2021"
"TN0066273","Rogers Group, Inc. - Lynchburg Quarry ","Rogers Group, Inc. 
","Lynchburg Quarry","Mining","Reissuance","Minor","643 Buckeye Loop Road","Lynchburg","Moore","Columbia","01-SEP-2017","01-NOV-2017","31-OCT-2022"
"TN0069639","Rogers Group, Inc. dba Tennessee River Sand & Gravel","Rogers Group, Inc. 
Formerly: Teague Sand and Gravel, Inc.","Tennessee River Sand and Gravel 
Formerly: Teague Sand and Gravel ","Mining","Modification","Minor","3107 Cypress Creek Road 
prior WPC 
R #1 Cypress Creek Road Decatur","Linden","Perry","Columbia","29-JUN-2018","01-JUL-2018","30-JUN-2023"
"TN0065706","Rogers Group, Inc. (Grimsley Sand & Gravel)","Rogers Group, Inc. (Grimsley Sand & Gravel)","-","Mining","Reissuance","Minor","1300 Old Sunbright Road","Grimsley","Fentress","Cookeville","12-DEC-2016","01-JAN-2017","31-DEC-2021"
"TN0066311","Rogers Group, Inc. - Cowan Quarry and Cowan Asphalt","Rogers Group, Inc. - Cowan Quarry","Cowan Quarry","Mining","Reissuance","Minor","221 Rogers Group Road","Cowan","Franklin","Columbia","20-SEP-2018","01-NOV-2018","31-OCT-2023"
